Location,Country,DZ,Latitude,Longitude,Elevation (m)
Maiske,Ukraine,DZ Maiskoe,48.492675,35.626109,145
Chester,United States,Skydive Carolina,34.790534,-81.195579,195
Bovec,Slovenia,Aeroklub Bovec,46.328833,13.548833,431
San Stino di Livenza,Italy,Skydive Venice,45.68732,12.70402,6
Verona,Italy,Skydive Verona,45.473056,10.926944,87
Thiene,Italy,Skydive Thiene,45.6755,11.496333,102
Dunkeswell,UK,Skydive Buzz,50.86,-3.234667,256
Longmont,United States,Mile-Hi Skydiving Center,40.1643889,-105.1636389,1541
Serdiana,Italy,Skydive Sardegna,39.400471,9.139151,132
Rockmart,United States,Skydive Spaceland Atlanta,33.976348,-85.168797,262
Gatineau,Canada,Parachute GO Skydive,45.5213889,-75.5641667,64
Farnham,Canada,Nouvel Air Skydiving,45.285793,-73.007171,55
Herning,Denmark,Dropzone Denmark,56.1847,9.04445,51
Gruyeres,Switzerland,EPCO - Gruyere,46.593343,7.094463,688
Goulburn,Australia,Adrenalin Skydive,-34.809077,149.726989,653
Triengen,Switzerland,PARA-SPORT-CLUB Triengen,47.226164,8.078353,486
Jurien Bay,Australia,Skydive Jurien Bay,-30.303543,115.055035,15
Clonbullogue,Ireland,Irish Parachute Club,53.249674,-7.123328,73
Sitterdorf,Switzerland,Fallschirmgruppe Sittertal,47.508978,9.262669,506
Frederikssund,Denmark,Nordsjællands Faldskærmsklub,55.852741,12.072545,3
Westlock,Canada,Edmonton Skydive,54.141688,-113.740138,675
Onoway,Canada,Eden North Parachute Schools,53.624697,-114.167311,737
Elderslie,Australia,Skydive Elderslie - Newcastle Sport Parachute Club,-32.599701,151.339996,34
Saint-Jerome,Canada,Parachutisme Adrenaline Saint-Jerome,45.7803,-74.061897,168
Tracy,United States,Skydive California,37.7313264,-121.3355889,11
Capannori,Italy,Skydive Lucca,43.784226,10.603388,7
Vargarda,Sweden,Fallskaermsklubben Cirrus Goeteborg,58.039167,12.785833,100
Pinchuky,Ukraine,Dropzone 5 Ocean,50.004393,30.19691,185
Menzelinsk,Russia,Aeroclub Menzelinsk,55.720724,53.060472,119
Victoriaville,Canada,Parachute Victoriaville,46.110833,-71.931667,148
Trois-Rivieres,Canada,Parachutisme Adrenaline Trois-Rivieres,46.352778,-72.679444,61
Lahr,Germany,Skydive Black Forest Lahr,48.369301,7.82772,156
Skovde,Sweden,Skovde Flygplats,58.456402,13.9727,99
Alvor,Portugal,Skydive Algarve,37.149552,-8.584431,2
Breitscheid,Germany,Skydive Westerwald,50.676388,8.169444,559
Waialua,United States,Pacific Skydiving Center,21.5794736,-158.1972814,4
Waialua,United States,Skydive Hawaii,21.5794736,-158.1972814,4
Kazimierz Biskupi,Poland,Sky Camp Drop Zone,52.3192,18.166998,114
Clewiston,United States,Skydive Spaceland Florida,26.7351667,-81.0510556,6
Mercer,United States,Skydive Pennsylvania,41.1460278,-80.16775,418
Butler,United States,Skydive Kansas City,38.2897778,-94.3401389,272
Altha,United States,Skydive Panama City,30.487157,-85.113785,36
Palatka,United States,Skydive Palatka,29.6583825,-81.6895031,15
Tullahoma,United States,Skydive Tullahoma,35.3800295,-86.2463536,330
Carletonville,South Africa,Johannesburg Skydiving Club,-26.369198,27.349391,1524
Langar,UK,Skydive Langar,52.89593,-0.90101,37
Cockerham,UK,Black Knights Parachute Centre,53.9658,-2.83126878,4
Brackley,UK,Hinton Skydiving Centre,52.028717,-1.207157,154
Hohenems,Austria,Skydive Hohenems,47.384998,9.7,412
Hohenlockstedt,Germany,YUU-Skydive Fallschirmsport e.V.,53.994446,9.578611,27
Borodyanka,Ukraine,Aerodrom Borodyanka,50.667,29.915001,141
Rustenburg,South Africa,SkyDive Rustenburg,-25.6443,27.271099,1128
Wainfleet,Canada,Skydive Burnaby,42.877499,-79.352798,183
Strasbourg,France,Regional School Skydiving Center of Alsace,48.554401,7.77806,139
Ebnat-Kappel,Switzerland,,47.270566,9.110623,630
Mossel Bay,South Africa,Skydive Mossel Bay,-34.158298,22.058599,162
Neudorf,Switzerland,Paraclub Beromünster - Skydive Luzern,47.189999,8.20472,654
Tanay,Russia,Aerodrom Tanay,54.758114,85.112972,213
Fehrbellin,Germany,TAKE OFF Fallschirmsport,52.793331,12.760278,42
Vannes,France,,47.723301,-2.71856,134
Clinton,United States,Glidersports Skydiving,38.354669,-93.67516,251
Rakkestad,Norway,Nimbus fallskjermklubb,59.397499,11.3469,116
Diepholz,Germany,,52.5855,8.340667,39
Suffolk,United States,Skydive Suffolk,36.6828884,-76.5996232,21
Akrefnia,Greece,Skydive Athens,38.455993,23.134503,91
Zwartberg,Belgium,PCV - Dropzone Zwartberg,51.0154,5.52647,85
Tauranga,New Zealand,Skydive Tauranga,-37.671902,176.195999,4
Cieurac,France,Centre Ecole de Parachutisme de Cahors,44.351398,1.47528,278
Rockmart_duplicate,United States,Skydive Spaceland Atlanta_duplicate,33.976176,-85.168775,262
Pierrefonds,France,Para Club de Bourbon,-21.3209,55.424999,18
Beni Mellal,Marocco,Parachute Air Club Maroc,32.400002,-6.33333,509
Boituva,Brazil,Parachuting Sky Company,-23.298056,-47.691944,625
Putilovo,Russia,DZ Putilovo,59.835019,31.480613,59
Rena,Norway,Oslo Fallskjermklubb,61.257401,11.6689,494
Moruya,Australia,Skydive Oz,-35.8978,150.143997,4
Orbetello,Italy,Skydive Costa d'Argento,42.494951,11.239309,7
Krems,Austria,Jump Club Krems,48.446899,15.635,312
Fuerstenzell,Germany,Fallschirmsport-Club Passau e.V.,48.518055,13.345833,410
Szolnok,Hungary,,47.144402,20.1978,81
Schaffen,Belgium,Skydive Flanders - Schaffen,50.999199,5.06556,30
Mundoo,Australia,Tandem Cairns,-17.559401,146.011993,14
Ocana,Spain,Skydive Madrid,39.9375,-3.50333,733
Klatovy,Czech Republic,Skydive Pink Klatovy,49.418301,13.3219,396
Wevelgem,Belgium,Skydive Flanders,50.852798,3.14731,20
Gransee,Germany,FSG Fallschirmsportgemeinschaft,53.006699,13.205,50
Arezzo,Italy,Paracadutismo Arezzo,43.455898,11.847,248
Monchy-Lagache,France,Skydiving-France,49.8685,3.02958,90
Wiener Neustadt,Austria,Fallschirmspringen Para Club Wr. Neustadt,47.84,16.221701,285
Yverdon-les-Bains,Switzerland,Para-Club Valais,46.761902,6.61333,433
Gardiner,United States,Skydive The Ranch,41.66676,-74.14959,104
Thun,Switzerland,Sprungplatz - Skydive Grenchen in Thun,46.756401,7.60056,560
Bex,Switzerland,GPS-Bex,46.258301,6.98639,400
Pepperell,United States,skydive Pepperell,42.696194,-71.550056,54
Schweighofen,Germany,FSC Südpfalz,49.031666,7.99,150
Calden,Germany,Aero Parachute sport GmbH,51.408333,9.3775,277
Hoevenen,Belgium,Skydive Antwerp,51.306099,4.38722,3
